Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Sucrose
Formula,C12H22O11
Molecular Weight (g/mol),342.241
Sample Weight (g),0.9906
Water Temp (deg C),24.20
Room Temp (deg C),22.64
Water Volume (L),2.0
Wire Before (g),0.024
Wire After (g),0.020
=====,=====
Time (s),Temperature (C)
0.00,24.20
30.00,24.22
60.00,24.18
90.00,24.20
120.00,24.20
150.00,24.20
180.00,24.20
210.00,24.18
240.00,24.18
270.00,24.19
300.00,24.20
330.00,24.53
360.00,25.02
390.00,25.34
420.00,25.58
450.00,25.69
480.00,25.76
510.00,25.78
540.00,25.81
570.00,25.81
600.00,25.82
630.00,25.82
660.00,25.81
690.00,25.84
720.00,25.83
750.00,25.81
780.00,25.81
810.00,25.80
840.00,25.80
870.00,25.80
900.00,25.79
930.00,25.80
960.00,25.80
