Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Sucrose
Formula,C12H22O11
Molecular Weight (g/mol),342.241
Sample Weight (g),0.9192
Water Temp (deg C),24.40
Room Temp (deg C),25.02
Water Volume (L),2.0
Wire Before (g),0.028
Wire After (g),0.024
=====,=====
Time (s),Temperature (C)
0.00,24.40
30.00,24.40
60.00,24.40
90.00,24.38
120.00,24.40
150.00,24.40
180.00,24.41
210.00,24.39
240.00,24.40
270.00,24.40
300.00,24.42
330.00,24.71
360.00,25.17
390.00,25.48
420.00,25.69
450.00,25.83
480.00,25.87
510.00,25.91
540.00,25.93
570.00,25.94
600.00,25.95
630.00,25.93
660.00,25.96
690.00,25.95
720.00,25.94
750.00,25.92
780.00,25.94
810.00,25.92
840.00,25.93
870.00,25.93
900.00,25.92
930.00,25.95
960.00,25.95
