Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Naphthalene
Formula,C10H8
Molecular Weight (g/mol),128.174
Sample Weight (g),0.9366
Water Temp (deg C),24.30
Room Temp (deg C),22.98
Water Volume (L),2.0
Wire Before (g),0.021
Wire After (g),0.014
=====,=====
Time (s),Temperature (C)
0.00,24.30
30.00,24.28
60.00,24.28
90.00,24.30
120.00,24.30
150.00,24.29
180.00,24.28
210.00,24.28
240.00,24.29
270.00,24.30
300.00,24.28
330.00,25.06
360.00,26.19
390.00,27.02
420.00,27.49
450.00,27.79
480.00,27.95
510.00,28.04
540.00,28.06
570.00,28.09
600.00,28.08
630.00,28.08
660.00,28.09
690.00,28.10
720.00,28.10
750.00,28.08
780.00,28.08
810.00,28.07
840.00,28.08
870.00,28.06
900.00,28.06
930.00,28.07
960.00,28.08
