Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Myristic Acid
Formula,C14H28O2
Molecular Weight (g/mol),228.365
Sample Weight (g),0.9020
Water Temp (deg C),24.10
Room Temp (deg C),24.01
Water Volume (L),2.0
Wire Before (g),0.025
Wire After (g),0.016
=====,=====
Time (s),Temperature (C)
0.00,24.10
30.00,24.11
60.00,24.12
90.00,24.12
120.00,24.10
150.00,24.11
180.00,24.11
210.00,24.09
240.00,24.11
270.00,24.12
300.00,24.11
330.00,24.79
360.00,25.84
390.00,26.60
420.00,27.04
450.00,27.28
480.00,27.42
510.00,27.51
540.00,27.53
570.00,27.56
600.00,27.56
630.00,27.56
660.00,27.58
690.00,27.58
720.00,27.57
750.00,27.58
780.00,27.58
810.00,27.57
840.00,27.55
870.00,27.56
900.00,27.57
930.00,27.57
960.00,27.58
