Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Benzoic Acid
Formula,C7H6O2
Molecular Weight (g/mol),122.113
Sample Weight (g),0.9795
Water Temp (deg C),24.20
Room Temp (deg C),22.67
Water Volume (L),2.0
Wire Before (g),0.026
Wire After (g),0.017
=====,=====
Time (s),Temperature (C)
0.00,24.20
30.00,24.21
60.00,24.20
90.00,24.20
120.00,24.20
150.00,24.19
180.00,24.18
210.00,24.17
240.00,24.18
270.00,24.18
300.00,24.20
330.00,24.69
360.00,25.50
390.00,26.04
420.00,26.41
450.00,26.60
480.00,26.70
510.00,26.75
540.00,26.78
570.00,26.78
600.00,26.81
630.00,26.81
660.00,26.82
690.00,26.79
720.00,26.80
750.00,26.79
780.00,26.79
810.00,26.80
840.00,26.78
870.00,26.78
900.00,26.78
930.00,26.79
960.00,26.78
