Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Benzoic Acid
Formula,C7H6O2
Molecular Weight (g/mol),122.113
Sample Weight (g),0.9446
Water Temp (deg C),24.10
Room Temp (deg C),23.48
Water Volume (L),2.0
Wire Before (g),0.029
Wire After (g),0.023
=====,=====
Time (s),Temperature (C)
0.00,24.10
30.00,24.12
60.00,24.10
90.00,24.08
120.00,24.11
150.00,24.10
180.00,24.11
210.00,24.09
240.00,24.10
270.00,24.10
300.00,24.11
330.00,24.60
360.00,25.35
390.00,25.91
420.00,26.23
450.00,26.41
480.00,26.52
510.00,26.58
540.00,26.62
570.00,26.63
600.00,26.61
630.00,26.62
660.00,26.64
690.00,26.61
720.00,26.63
750.00,26.61
780.00,26.62
810.00,26.60
840.00,26.62
870.00,26.62
900.00,26.60
930.00,26.61
960.00,26.59
