Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Stearic Acid
Formula,C18H36O2
Molecular Weight (g/mol),284.473
Sample Weight (g),1.0412
Water Temp (deg C),24.10
Room Temp (deg C),24.10
Water Volume (L),2.0
Wire Before (g),0.027
Wire After (g),0.019
=====,=====
Time (s),Temperature (C)
0.00,24.10
30.00,24.09
60.00,24.08
90.00,24.09
120.00,24.11
150.00,24.10
180.00,24.11
210.00,24.11
240.00,24.11
270.00,24.11
300.00,24.09
330.00,24.90
360.00,26.19
390.00,27.06
420.00,27.62
450.00,27.92
480.00,28.11
510.00,28.18
540.00,28.23
570.00,28.25
600.00,28.28
630.00,28.28
660.00,28.26
690.00,28.26
720.00,28.24
750.00,28.27
780.00,28.24
810.00,28.27
840.00,28.23
870.00,28.23
900.00,28.26
930.00,28.22
960.00,28.24
