Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Sucrose
Formula,C12H22O11
Molecular Weight (g/mol),342.241
Sample Weight (g),1.0799
Water Temp (deg C),24.30
Room Temp (deg C),22.46
Water Volume (L),2.0
Wire Before (g),0.029
Wire After (g),0.025
=====,=====
Time (s),Temperature (C)
0.00,24.30
30.00,24.29
60.00,24.30
90.00,24.29
120.00,24.27
150.00,24.31
180.00,24.31
210.00,24.30
240.00,24.29
270.00,24.28
300.00,24.30
330.00,24.63
360.00,25.20
390.00,25.57
420.00,25.81
450.00,25.93
480.00,26.00
510.00,26.04
540.00,26.05
570.00,26.08
600.00,26.08
630.00,26.07
660.00,26.08
690.00,26.06
720.00,26.08
750.00,26.09
780.00,26.06
810.00,26.07
840.00,26.06
870.00,26.04
900.00,26.06
930.00,26.05
960.00,26.05
