Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Azulene
Formula,C10H8
Molecular Weight (g/mol),128.174
Sample Weight (g),1.0510
Water Temp (deg C),24.10
Room Temp (deg C),22.99
Water Volume (L),2.0
Wire Before (g),0.023
Wire After (g),0.016
=====,=====
Time (s),Temperature (C)
0.00,24.10
30.00,24.09
60.00,24.12
90.00,24.10
120.00,24.10
150.00,24.09
180.00,24.11
210.00,24.11
240.00,24.10
270.00,24.10
300.00,24.09
330.00,24.96
360.00,26.29
390.00,27.21
420.00,27.82
450.00,28.11
480.00,28.29
510.00,28.39
540.00,28.46
570.00,28.44
600.00,28.46
630.00,28.47
660.00,28.47
690.00,28.45
720.00,28.45
750.00,28.46
780.00,28.46
810.00,28.45
840.00,28.46
870.00,28.45
900.00,28.44
930.00,28.45
960.00,28.43
