Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,α-D-Glucose
Formula,C6H12O6
Molecular Weight (g/mol),180.126
Sample Weight (g),1.0875
Water Temp (deg C),24.10
Room Temp (deg C),22.53
Water Volume (L),2.0
Wire Before (g),0.025
Wire After (g),0.018
=====,=====
Time (s),Temperature (C)
0.00,24.10
30.00,24.11
60.00,24.08
90.00,24.10
120.00,24.11
150.00,24.11
180.00,24.08
210.00,24.11
240.00,24.11
270.00,24.10
300.00,24.11
330.00,24.44
360.00,24.95
390.00,25.32
420.00,25.52
450.00,25.66
480.00,25.71
510.00,25.75
540.00,25.80
570.00,25.81
600.00,25.79
630.00,25.78
660.00,25.79
690.00,25.78
720.00,25.81
750.00,25.80
780.00,25.77
810.00,25.79
840.00,25.79
870.00,25.79
900.00,25.78
930.00,25.77
960.00,25.80
