Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Naphthalene
Formula,C10H8
Molecular Weight (g/mol),128.174
Sample Weight (g),1.0796
Water Temp (deg C),24.40
Room Temp (deg C),24.00
Water Volume (L),2.0
Wire Before (g),0.023
Wire After (g),0.016
=====,=====
Time (s),Temperature (C)
0.00,24.40
30.00,24.40
60.00,24.39
90.00,24.39
120.00,24.39
150.00,24.38
180.00,24.40
210.00,24.38
240.00,24.38
270.00,24.38
300.00,24.40
330.00,25.27
360.00,26.57
390.00,27.51
420.00,28.09
450.00,28.41
480.00,28.59
510.00,28.68
540.00,28.75
570.00,28.76
600.00,28.76
630.00,28.78
660.00,28.78
690.00,28.78
720.00,28.78
750.00,28.79
780.00,28.77
810.00,28.76
840.00,28.75
870.00,28.75
900.00,28.78
930.00,28.75
960.00,28.76
