Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3757
Sample Name,Azulene
Formula,C10H8
Molecular Weight (g/mol),128.174
Sample Weight (g),1.0223
Water Temp (deg C),24.10
Room Temp (deg C),22.46
Water Volume (L),2.0
Wire Before (g),0.029
Wire After (g),0.022
=====,=====
Time (s),Temperature (C)
0.00,24.10
30.00,24.08
60.00,24.09
90.00,24.09
120.00,24.11
150.00,24.07
180.00,24.09
210.00,24.07
240.00,24.08
270.00,24.08
300.00,24.10
330.00,24.92
360.00,26.21
390.00,27.13
420.00,27.68
450.00,27.99
480.00,28.18
510.00,28.27
540.00,28.33
570.00,28.34
600.00,28.33
630.00,28.34
660.00,28.33
690.00,28.35
720.00,28.35
750.00,28.32
780.00,28.34
810.00,28.34
840.00,28.34
870.00,28.34
900.00,28.30
930.00,28.34
960.00,28.30
